CustomerID,recency,frequency,monetary,r_score,f_score,m_score,fm_score,rfm_score,rfm_segment,Country
12544,28,1,372.7,3,1,2,2,2.0,Promising,Spain
13568,165,1,192.85000000000002,1,1,1,1,1.0,Lost,United Kingdom
13824,24,5,1698.9399999999996,3,4,4,4,3.67,Loyal Customers,United Kingdom
14080,24,1,45.599999999999994,3,1,1,1,1.67,Promising,United Kingdom
14336,8,4,1614.9100000000008,4,3,4,4,3.67,Champions,United Kingdom
14592,27,3,570.4599999999997,3,3,2,3,2.67,Potential Loyalists,United Kingdom
15104,188,2,1027.4400000000003,1,2,3,3,2.0,At Risk,United Kingdom
15360,31,1,427.92999999999995,3,1,2,2,2.0,Promising,United Kingdom
15872,6,2,360.92999999999961,4,2,2,2,2.67,Recent Customers,United Kingdom
16128,9,5,1880.2200000000003,4,4,4,4,4.0,Champions,United Kingdom
16384,81,2,584.49999999999989,2,2,2,2,2.0,Customers Needing Attention,United Kingdom
17152,186,3,1689.5,1,3,4,4,2.67,Can’t Lose Them,United Kingdom
17408,155,1,32.65,1,1,1,1,1.0,Lost,United Kingdom
17664,10,2,604.64,4,2,2,2,2.67,Recent Customers,United Kingdom
17920,3,15,3713.0299999999938,4,4,4,4,4.0,Champions,United Kingdom
18176,350,1,476.34999999999991,1,1,2,2,1.33,Hibernating,United Kingdom
12545,67,2,1000.3899999999999,2,2,3,3,2.33,At Risk,Spain
13313,14,5,1555.319999999999,4,4,3,4,3.67,Champions,United Kingdom
13569,9,2,373.74999999999989,4,2,2,2,2.67,Recent Customers,United Kingdom
14081,294,2,934.5200000000001,1,2,3,3,2.0,At Risk,United Kingdom
14593,13,3,617.98999999999967,4,3,2,3,3.0,Recent Customers,United Kingdom
14849,13,25,7930.5399999999972,4,4,4,4,4.0,Champions,United Kingdom
15105,10,7,2298.9300000000012,4,4,4,4,4.0,Champions,United Kingdom
15361,353,1,418.91999999999996,1,1,2,2,1.33,Hibernating,United Kingdom
16385,52,3,555.88999999999976,2,3,2,3,2.33,At Risk,United Kingdom
16641,97,1,231.1,2,1,1,1,1.33,Customers Needing Attention,United Kingdom
16897,291,2,289.78,1,2,1,2,1.33,Hibernating,United Kingdom
17153,16,1,213.78,4,1,1,1,2.0,Promising,United Kingdom
17409,176,2,771.85000000000014,1,2,3,3,2.0,At Risk,United Kingdom
17921,56,4,826.5200000000001,2,3,3,3,2.67,At Risk,United Kingdom
18177,23,6,1341.4199999999994,3,4,3,4,3.33,Loyal Customers,United Kingdom
12546,38,2,1161.5000000000002,3,2,3,3,2.67,Potential Loyalists,Spain
12802,178,1,427.58,1,1,2,2,1.33,Hibernating,Netherlands
13058,16,3,271.4,4,3,1,2,2.67,Recent Customers,United Kingdom
13314,55,2,589.47000000000025,2,2,2,2,2.0,Customers Needing Attention,United Kingdom
13570,235,1,239.48999999999998,1,1,1,1,1.0,Lost,United Kingdom
13826,168,1,189.49999999999997,1,1,1,1,1.0,Lost,United Kingdom
14082,356,1,182.25,1,1,1,1,1.0,Lost,United Kingdom
14338,153,2,588.22,1,2,2,2,1.67,Hibernating,United Kingdom
14594,365,1,254.99999999999997,1,1,1,1,1.0,Lost,United Kingdom
14850,303,1,325.74999999999994,1,1,2,2,1.33,Hibernating,United Kingdom
15106,9,5,1422.5200000000002,4,4,3,4,3.67,Champions,United Kingdom
15618,24,4,776.85100000000023,3,3,3,3,3.0,Potential Loyalists,United Kingdom
15874,55,7,4405.88,2,4,4,4,3.33,Can’t Lose Them,United Kingdom
16386,20,2,317.2,3,2,2,2,2.33,Promising,United Kingdom
